assignmentId,condition,experiment,hitId,id,study_id,workerId,guess,trial,mu1,mu2,variance1,variance2,n1,n2,psup,signed_error,unsigned_error
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,441e5fea-af2a-4827-82dd-80245a8844f7,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,90.0,1,2.51,1.76,1.45,1.44,103.0,113.0,67,23.0,23.0
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,9e144427-8f44-4a5e-bee5-81bd99871714,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,80.0,2,1.3,0.98,1.99,1.0,76.0,72.0,56,24.0,24.0
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,5c986c02-486a-4807-b39d-fd97473af429,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,65.0,3,2.93,2.77,1.22,1.93,96.0,77.0,54,11.0,11.0
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,dd48ae1b-e902-49eb-b5d9-5e9492ddf24c,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,55.0,4,2.6,2.46,0.58,1.99,106.0,86.0,53,2.0,2.0
d8f2bf59-fa5c-41c8-bf31-0ec9b35c2a9c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c5b7702e-3752-4ada-a411-f276f03785fa,paper-review-pilot-2,4501006464537369104472124537369108647031080162024,77.0,5,0.99,0.67,1.98,1.29,45.0,59.0,56,21.0,21.0
61e8414d-ac31-46d1-9b07-7c5ba696bda0,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,7b0867ae-e44f-4258-9abe-dfb8564abd39,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,60.0,1,0.92,0.38,1.28,0.7,81.0,72.0,65,-5.0,5.0
61e8414d-ac31-46d1-9b07-7c5ba696bda0,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,dabf55a3-d0fb-44dd-a951-ed612c5b7533,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,65.0,2,0.96,0.21,1.46,0.89,92.0,105.0,69,-4.0,4.0
61e8414d-ac31-46d1-9b07-7c5ba696bda0,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,cacc0de3-7c43-487c-82a7-b0f8102dd8f2,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,65.0,3,2.67,1.66,0.91,1.42,141.0,125.0,75,-10.0,10.0
61e8414d-ac31-46d1-9b07-7c5ba696bda0,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,90669892-d392-4521-930c-7493120b68c5,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,55.0,4,2.02,1.6,1.86,1.17,118.0,124.0,60,-5.0,5.0
9373b4fe-5830-4161-8b6c-bba4f0c8f12b,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,e1c72813-f897-4728-bcd5-86147b53cff6,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,50.0,1,1.4,1.37,1.38,0.88,197.0,191.0,51,-1.0,1.0
61e8414d-ac31-46d1-9b07-7c5ba696bda0,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b38b733f-5c2c-4cd4-aa77-ba93e989d742,paper-review-pilot-2,4501006464537369104472164537369108647131200192024,52.0,5,0.71,0.46,1.46,0.75,71.0,66.0,56,-4.0,4.0
9373b4fe-5830-4161-8b6c-bba4f0c8f12b,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,f23616a3-72b2-4449-8975-d28884ba19e3,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,80.0,2,2.0,1.63,0.92,0.84,71.0,74.0,61,19.0,19.0
9373b4fe-5830-4161-8b6c-bba4f0c8f12b,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,878ff5d5-3c72-42a0-9e3f-1ce702c97d8d,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,60.0,3,1.54,1.46,1.14,1.02,174.0,179.0,52,8.0,8.0
9373b4fe-5830-4161-8b6c-bba4f0c8f12b,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,d81296b0-1ef1-4d62-b717-72322207c567,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,100.0,4,2.57,1.9,1.99,1.4,99.0,93.0,64,36.0,36.0
9373b4fe-5830-4161-8b6c-bba4f0c8f12b,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,0bbec141-6845-4c05-b977-a747e24b4ab3,paper-review-pilot-2,4501006464537369204515107537369209026231003150424,100.0,5,1.54,0.75,1.8,1.06,56.0,57.0,68,32.0,32.0
39d3e124-c7f9-4721-a171-95666c16a1b6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c53c21ec-e174-4982-8c53-77aec1774082,paper-review-pilot-2,35010157605115141160511511440256024,95.0,1,1.17,0.66,1.02,1.59,101.0,106.0,62,33.0,33.0
39d3e124-c7f9-4721-a171-95666c16a1b6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,7b322925-b217-472d-92a2-9e9286327cf7,paper-review-pilot-2,35010157605115141160511511440256024,99.0,2,2.56,1.85,1.98,0.58,105.0,131.0,67,32.0,32.0
39d3e124-c7f9-4721-a171-95666c16a1b6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,309ee681-c586-44b8-ae5d-ed0217462b66,paper-review-pilot-2,35010157605115141160511511440256024,99.0,3,2.89,2.18,0.75,1.77,160.0,149.0,67,32.0,32.0
39d3e124-c7f9-4721-a171-95666c16a1b6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,28e9ed9f-5744-48c1-916e-d8e9077eef76,paper-review-pilot-2,35010157605115141160511511440256024,99.0,4,2.79,1.96,1.9,1.89,68.0,80.0,67,32.0,32.0
39d3e124-c7f9-4721-a171-95666c16a1b6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,2d7fdcff-7220-4a1b-9916-d92839b6861e,paper-review-pilot-2,35010157605115141160511511440256024,70.0,5,2.08,1.9,1.28,1.83,177.0,203.0,54,16.0,16.0
eda9f6b9-f4b0-4434-9bb0-d39621e784b3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,cee2dded-041a-41a9-a2aa-4fe7f6b359c5,paper-review-pilot-2,45010064537369204515107537363960170724,70.0,1,2.9,2.03,1.93,0.61,168.0,171.0,71,-1.0,1.0
eda9f6b9-f4b0-4434-9bb0-d39621e784b3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,20c76432-ced8-48e8-af59-438697ac42c4,paper-review-pilot-2,45010064537369204515107537363960170724,55.0,2,1.4,0.98,1.46,1.8,166.0,152.0,59,-4.0,4.0
eda9f6b9-f4b0-4434-9bb0-d39621e784b3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,f8ceda8d-757b-442a-bce1-3828991431f2,paper-review-pilot-2,45010064537369204515107537363960170724,55.0,3,0.94,0.36,1.97,0.85,59.0,57.0,64,-9.0,9.0
eda9f6b9-f4b0-4434-9bb0-d39621e784b3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,fe7340ac-eb42-4dfa-803b-ed0bfc723f48,paper-review-pilot-2,45010064537369204515107537363960170724,60.0,4,2.39,1.82,1.83,0.58,147.0,160.0,64,-4.0,4.0
eda9f6b9-f4b0-4434-9bb0-d39621e784b3,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,4101a27e-763a-4789-aed5-09126c78f623,paper-review-pilot-2,45010064537369204515107537363960170724,75.0,5,1.0,0.22,0.91,0.81,80.0,86.0,72,3.0,3.0
826d918a-aca9-405d-8d31-80ff81605cc3,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,aab47067-822f-451d-be7f-3e9447930812,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,95.0,1,2.8,2.12,1.59,1.83,153.0,144.0,64,31.0,31.0
4cf6167f-cf0f-4146-b167-652e200b8891,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,1cd07073-0831-45c6-902d-866965ec8bea,paper-review-pilot-2,4501006464537369104472124537369108646731080192024,53.0,1,1.19,0.87,0.89,1.34,156.0,145.0,57,-4.0,4.0
4cf6167f-cf0f-4146-b167-652e200b8891,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c0b274c2-7e1f-43b5-bbdc-993bac22c5a1,paper-review-pilot-2,4501006464537369104472124537369108646731080192024,65.0,2,1.59,0.42,1.73,1.39,105.0,115.0,75,-10.0,10.0
4cf6167f-cf0f-4146-b167-652e200b8891,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,42c61078-1fdb-4e09-8e3c-2359087b7b56,paper-review-pilot-2,4501006464537369104472124537369108646731080192024,55.0,3,0.44,0.06,1.52,1.26,154.0,162.0,59,-4.0,4.0
826d918a-aca9-405d-8d31-80ff81605cc3,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,ce9f5ca8-a6b1-48a4-866a-0445bb55fd51,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,67.0,2,1.07,0.89,1.4,1.4,46.0,60.0,54,13.0,13.0
4cf6167f-cf0f-4146-b167-652e200b8891,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,d95081a9-783d-4230-ab0b-990d4f51c444,paper-review-pilot-2,4501006464537369104472124537369108646731080192024,60.0,4,2.57,1.47,1.8,0.75,132.0,148.0,75,-15.0,15.0
826d918a-aca9-405d-8d31-80ff81605cc3,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,d60f06df-7414-4e6e-8e77-444b574a88ed,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,99.0,3,0.96,0.29,0.54,0.63,140.0,149.0,73,26.0,26.0
826d918a-aca9-405d-8d31-80ff81605cc3,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,b400ad58-9e1f-47b8-a2c8-43de1b196cde,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,95.0,4,1.34,1.05,0.73,0.56,185.0,195.0,60,35.0,35.0
4cf6167f-cf0f-4146-b167-652e200b8891,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,ec2af7cf-0c2f-4b9b-95c1-2a145a42d973,paper-review-pilot-2,4501006464537369104472124537369108646731080192024,70.0,5,2.32,1.62,1.62,0.73,128.0,126.0,68,2.0,2.0
fc206103-8848-44da-9f31-277a94a5e6dc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,a18e1011-252c-49ab-b825-8b9673e0ac50,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,50.0,1,0.16,0.09,1.83,1.25,168.0,155.0,52,-2.0,2.0
826d918a-aca9-405d-8d31-80ff81605cc3,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,9e0d4b8d-71f5-4181-a649-a662912772cb,paper-review-pilot-2,4501006464537369204515107537369209026231080192024,85.0,5,1.71,1.28,1.1,1.7,176.0,168.0,60,25.0,25.0
fc206103-8848-44da-9f31-277a94a5e6dc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,6ec9b399-8ae7-4cf0-8ba4-998268bd0546,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,80.0,2,2.41,1.97,1.83,1.67,108.0,131.0,59,21.0,21.0
0218cf26-e5e8-4dcf-acab-600e1b1bf366,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,e98524c7-f690-4107-aa9c-d8125c3cdbcd,paper-review-pilot-2,050150605115150151486041092642832,100.0,1,1.77,1.44,0.92,0.66,70.0,48.0,60,40.0,40.0
fc206103-8848-44da-9f31-277a94a5e6dc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,c5ceb408-6912-4020-8a81-6a1fcbeb2825,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,50.0,3,1.47,1.31,1.98,0.65,91.0,87.0,54,-4.0,4.0
fc206103-8848-44da-9f31-277a94a5e6dc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,f8a44550-a34a-4299-b99a-35cf184d1fec,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,95.0,4,2.93,1.81,1.99,1.52,159.0,164.0,73,22.0,22.0
b1df7f0b-0525-49a9-afae-5888146e7a60,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,cde82db6-da1d-4b76-9b89-6b5181db3470,paper-review-pilot-2,450100646453736920451510753736920902553960170724,100.0,1,2.05,1.68,1.85,1.6,137.0,128.0,57,43.0,43.0
fc206103-8848-44da-9f31-277a94a5e6dc,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,ed144e39-1dd3-4246-a75b-c7a9d9b13920,paper-review-pilot-2,4501006464537369204515107537369209025531080192024,90.0,5,1.65,1.03,1.73,1.82,176.0,181.0,63,27.0,27.0
0218cf26-e5e8-4dcf-acab-600e1b1bf366,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,5b150001-2258-42e3-9e13-48246fd20c5b,paper-review-pilot-2,050150605115150151486041092642832,100.0,2,1.12,0.54,0.99,1.8,117.0,136.0,64,36.0,36.0
b1df7f0b-0525-49a9-afae-5888146e7a60,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,5d43b8ea-1a76-460d-9205-6957ac88320f,paper-review-pilot-2,450100646453736920451510753736920902553960170724,55.0,2,2.32,2.31,1.17,1.95,143.0,127.0,50,5.0,5.0
0218cf26-e5e8-4dcf-acab-600e1b1bf366,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,84b6329f-68f8-4212-8d01-6526be4da40e,paper-review-pilot-2,050150605115150151486041092642832,50.0,3,0.37,0.25,1.24,1.33,89.0,99.0,53,-3.0,3.0
0218cf26-e5e8-4dcf-acab-600e1b1bf366,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,das-20210803-prod,5f3dcbe4-9bce-4fd9-afb6-2656a3b6e5a7,paper-review-pilot-2,050150605115150151486041092642832,100.0,4,2.05,1.04,1.53,1.21,67.0,65.0,73,27.0,27.0
