assignmentId,condition,experiment,hitId,id,stage,study_id,variant,workerId,paperA_editorialResponse,paperA_superiorityEstimate,paperA_whatYouSaw,paperA_whatYouSaw2,q_appeal,q_sample_size,q_overall,elapsed
56c0df63-5f27-4c35-ab01-b4d2dddc8ab6,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,aed1b42d-c5fa-4c64-a122-278d54e68e73,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,05010064649002010010190001080192024,"{'q_appeal': '3', 'q_sample_size': '3', 'q_overall': '5'}",55,recalled_1_se,recalled_uncert_avg,3,3,5,357762
62790b44-6718-4b73-af06-73e77188220e,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,eea6718b-844b-4073-8049-b346e4057ee3,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,35010157605115141260511511440256024,"{'q_appeal': '4', 'q_sample_size': '5', 'q_overall': '2'}",52,recalled_1_se,recalled_uncert_pop,4,5,2,510109
992b1189-bace-4559-ad8d-e59f4eda7a43,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,a0fb0294-e938-4072-af01-393a65fc9a97,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,45010064645373692045151315373631200192024,"{'q_appeal': '3', 'q_sample_size': '5', 'q_overall': '2'}",54,recalled_1_sd,recalled_uncert_avg,3,5,2,289827
31afbe3e-9e39-4557-895b-579b8a1358f7,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,8a540b85-f8b0-40e3-beb0-c477a1deb2f2,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,25010157537369204515131537362900144030,"{'q_appeal': '4', 'q_sample_size': '5', 'q_overall': '3'}",52,recalled_1_se,recalled_uncert_avg,4,5,3,301469
f258bca7-29ca-474a-8950-d2c90cd4b101,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,d2ab81bd-d797-4558-9003-7eea47c6921b,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,35010157605115141260511511152204824,"{'q_appeal': '3', 'q_sample_size': '4', 'q_overall': '3'}",50,recalled_1_se,recalled_uncert_pop,3,4,3,174392
7142272e-f973-435b-9f3b-edc458fe3f21,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,9ff4772f-e6ad-46b0-8080-e137fcd1e17c,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,4501006464537369204515131537363720128024,"{'q_appeal': '4', 'q_sample_size': '4', 'q_overall': '2'}",52,recalled_1_se,recalled_uncert_avg,4,4,2,196271
88842b9e-ba32-4d07-aa09-c290c347668c,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,d308e3ea-4d61-4dc3-902f-5fd407f9cf1a,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,0501015900201001019000900160024,"{'q_appeal': '5', 'q_sample_size': '4', 'q_overall': '2'}",75,recalled_1_se,recalled_uncert_pop,5,4,2,240869
e0a7fe35-5908-4c5b-ac11-96c3871b4119,SE_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,d342a952-e782-4bfa-8ae0-08cbf7e1cf1f,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,45010064645373692045151315373631200192024,"{'q_appeal': '4', 'q_sample_size': '5', 'q_overall': '2'}",55,recalled_1_se,recalled_uncert_avg,4,5,2,688135
c1b8ee85-491b-4d42-9f98-db927e5ac15f,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,4240fd07-05d1-4484-9dfc-d2df62781d51,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,0501006464900201001019000864153624,"{'q_appeal': '5', 'q_sample_size': '3', 'q_overall': '3'}",99,recalled_1_se,recalled_uncert_avg,5,3,3,466170
090a82bf-ee40-4d48-b5d6-05442c19fd69,SE_POINTS_NO_FEEDBACK,PAPER_REVIEW_PILOT2,FACULTY_20210816_prod,e0beef0c-4e37-4823-ac8d-a3c0b9cece42,PAPER_A_UNDERSTANDING,paper-review-pilot-2,FACULTY,45010064645373692045151075373631080192024,"{'q_appeal': '3', 'q_sample_size': '5', 'q_overall': '3'}",62,recalled_1_se,recalled_uncert_avg,3,5,3,1233336
